Family,Feature,Expected,MatlabBuiltinValue,AbsDiff,RelDiffPct,TolerancePct,Status,BuiltinUsed,Note
First-order intensity,INTEGRATED_INTENSITY,5015224,5015224,0,0,5,PASS,"sum","Exact MATLAB sum of ROI intensities"
First-order intensity,MIN,11079,11079,0,0,5,PASS,"min","MATLAB minimum"
First-order intensity,MAX,64090,64090,0,0,5,PASS,"max","MATLAB maximum"
First-order intensity,RANGE,53011,53011,0,0,5,PASS,"range","MATLAB range"
First-order intensity,MEAN,32566.3896103896,32566.3896103896,0,0,5,PASS,"mean","MATLAB arithmetic mean"
First-order intensity,MEDIAN,29803.5,29803.5,0,0,5,PASS,"median","MATLAB median"
First-order intensity,MODE,19552,19552,0,0,5,PASS,"mode","MATLAB mode"
First-order intensity,STANDARD_DEVIATION,14730.9683171077,14730.9683171077,3.63797880709171e-12,2.469612810766e-14,5,PASS,"std(x,0)","Unbiased sample standard deviation"
First-order intensity,STANDARD_DEVIATION_BIASED,14683.0626022186,14683.0626022186,1.81898940354586e-12,1.23883514824149e-14,5,PASS,"std(x,1)","Population standard deviation"
First-order intensity,VARIANCE,217001427.55963,217001427.55963,0,0,5,PASS,"var(x,0)","Unbiased sample variance"
First-order intensity,VARIANCE_BIASED,215592327.380671,215592327.380671,2.98023223876953e-08,1.38234615070848e-14,5,PASS,"var(x,1)","Population variance"
First-order intensity,STANDARD_ERROR,1187.05525522557,1187.05525522557,2.27373675443232e-13,1.91544306334776e-14,5,PASS,"std/sqrt(n)","Composition of MATLAB built-ins"
First-order intensity,ROOT_MEAN_SQUARED,35723.4105263812,35723.4105263812,0,0,5,PASS,"sqrt(mean(x.^2))","RMS via MATLAB mean"
First-order intensity,SKEWNESS,0.450256759704494,0.450256759704494,3.33066907387547e-16,7.39726612002762e-14,5,PASS,"skewness(x,1)","MATLAB population-normalized skewness"
First-order intensity,KURTOSIS,1.92788872071009,1.92788872071009,4.44089209850063e-16,2.30350022322084e-14,5,PASS,"kurtosis(x,1)","MATLAB population-normalized kurtosis"
First-order intensity,EXCESS_KURTOSIS,-1.07211127928991,-1.07211127928991,4.44089209850063e-16,4.14219324456875e-14,5,PASS,"kurtosis(x,1)-3","MATLAB excess kurtosis"
First-order intensity,ENERGY,196528957184,196528957184,0,0,5,PASS,"sum(x.^2)","Composition of MATLAB sum"
First-order intensity,COV,0.452336549839963,0.452336549839963,0,0,5,PASS,"std/mean","Composition of MATLAB std and mean"
First-order intensity,MEAN_ABSOLUTE_DEVIATION,12833.0844999157,12833.0844999157,1.81898940354586e-12,1.41742182369158e-14,5,PASS,"mean(abs(x-mean(x)))","Composition of MATLAB mean"
First-order intensity,MEDIAN_ABSOLUTE_DEVIATION,12693.8441558442,12693.8441558442,3.63797880709171e-12,2.86593939741793e-14,5,PASS,"mean(abs(x-median(x)))","Nyxus uses mean absolute deviation around median, not MATLAB mad default"
First-order intensity,P01,11895.3694,12081.4,186.0306,1.5638909036318,5,PASS,"prctile","Raw sample percentile"
First-order intensity,P10,16107.472,16329,221.528,1.37531202910053,5,PASS,"prctile","Raw sample percentile"
First-order intensity,P25,19074.8258333333,19552,477.174166666671,2.50159121155805,5,PASS,"prctile","Raw sample percentile"
First-order intensity,P75,45801.205,45723,78.2050000000017,0.170748782701245,5,PASS,"prctile","Raw sample percentile"
First-order intensity,P90,53381.778,53360.7,21.0780000000013,0.0394853839450633,5,PASS,"prctile","Raw sample percentile"
First-order intensity,P99,63416.7603,63380.96,35.8003000000026,0.0564524265046737,5,PASS,"prctile","Raw sample percentile"
First-order intensity,INTERQUARTILE_RANGE,26726.3791666667,26171,555.379166666669,2.07801873648243,5,PASS,"iqr","Raw sample IQR"
First-order intensity,QCOD,0.411960763064047,0.400934507851398,0.011026255212649,2.67653043718021,5,PASS,"iqr/prctile","Raw sample QCOD"
First-order intensity,ENTROPY,4.12733,NaN,NaN,NaN,5,NO_BUILTIN,"","Nyxus histogram entropy convention is not MATLAB entropy() on an image"
First-order intensity,UNIFORMITY,0.0647664,NaN,NaN,NaN,5,NO_BUILTIN,"","Nyxus histogram uniformity convention has no direct MATLAB first-order builtin"
First-order intensity,UNIFORMITY_PIU,29.4775771927257,NaN,NaN,NaN,5,NO_BUILTIN,"","Nyxus PIU convention has no direct MATLAB builtin"
First-order intensity,COVERED_IMAGE_INTENSITY_RANGE,0.808896009765774,NaN,NaN,NaN,5,NO_BUILTIN,"","Requires Nyxus slide min/max semantics"
First-order intensity,ROBUST_MEAN,31421.368,NaN,NaN,NaN,5,NO_BUILTIN,"","No single MATLAB built-in feature; Nyxus derives this from the P10-P90 raw-sample percentile band"
First-order intensity,ROBUST_MEAN_ABSOLUTE_DEVIATION,10440.618496,NaN,NaN,NaN,5,NO_BUILTIN,"","No single MATLAB built-in feature; Nyxus derives this from the P10-P90 raw-sample percentile band"
First-order intensity,HYPERSKEWNESS,1.97829308660538,NaN,NaN,NaN,5,NO_BUILTIN,"","No MATLAB built-in feature oracle"
First-order intensity,HYPERFLATNESS,5.12665924302846,NaN,NaN,NaN,5,NO_BUILTIN,"","No MATLAB built-in feature oracle"
