Oracle,Family,Feature,Reason
MATLAB built-ins,First-order intensity,ENTROPY,"Nyxus histogram entropy convention is not MATLAB entropy() on an image"
MATLAB built-ins,First-order intensity,UNIFORMITY,"Nyxus histogram uniformity convention has no direct MATLAB first-order builtin"
MATLAB built-ins,First-order intensity,UNIFORMITY_PIU,"Nyxus PIU convention has no direct MATLAB builtin"
MATLAB built-ins,First-order intensity,COVERED_IMAGE_INTENSITY_RANGE,"Requires Nyxus slide min/max semantics"
MATLAB built-ins,First-order intensity,ROBUST_MEAN_ABSOLUTE_DEVIATION,"No single MATLAB built-in feature; Nyxus derives this from the P10-P90 raw-sample percentile band"
MATLAB built-ins,First-order intensity,HYPERSKEWNESS,"No MATLAB built-in feature oracle"
MATLAB built-ins,First-order intensity,HYPERFLATNESS,"No MATLAB built-in feature oracle"
MATLAB built-ins,Shape and morphology,MASS_DISPLACEMENT,"No single MATLAB morphology builtin; derived from Nyxus centroid conventions"
MATLAB built-ins,Shape and morphology,COMPACTNESS,"Nyxus-specific compactness formula"
MATLAB built-ins,Shape and morphology,DIAMETER_EQUAL_AREA,"Nyxus formula differs from MATLAB EquivDiameter convention"
MATLAB built-ins,Shape and morphology,ROUNDNESS,"Nyxus formula depends on its major-axis convention"
MATLAB built-ins,Shape and morphology,PERIMETER,"Nyxus ordered contour convention differs from regionprops Perimeter"
MATLAB built-ins,Shape and morphology,DIAMETER_EQUAL_PERIMETER,"Depends on Nyxus perimeter convention"
MATLAB built-ins,Shape and morphology,EDGE_MEAN_INTENSITY,"No direct MATLAB feature over Nyxus ordered contour"
MATLAB built-ins,Shape and morphology,EDGE_STDDEV_INTENSITY,"No direct MATLAB feature over Nyxus ordered contour"
MATLAB built-ins,Shape and morphology,EDGE_MAX_INTENSITY,"No direct MATLAB feature over Nyxus ordered contour"
MATLAB built-ins,Shape and morphology,EDGE_MIN_INTENSITY,"No direct MATLAB feature over Nyxus ordered contour"
MATLAB built-ins,Shape and morphology,EDGE_INTEGRATED_INTENSITY,"No direct MATLAB feature over Nyxus ordered contour"
MATLAB built-ins,Shape and morphology,CIRCULARITY,"Depends on Nyxus perimeter convention"
MATLAB built-ins,Shape and morphology,FRACT_DIM_BOXCOUNT,"No direct MATLAB built-in oracle"
MATLAB built-ins,Shape and morphology,FRACT_DIM_PERIMETER,"No direct MATLAB built-in oracle"
MATLAB built-ins,Shape and morphology,DIAMETER_MIN_ENCLOSING_CIRCLE,"No direct MATLAB built-in oracle in base/IPT"
MATLAB built-ins,Shape and morphology,DIAMETER_CIRCUMSCRIBING_CIRCLE,"No direct MATLAB built-in oracle in base/IPT"
MATLAB built-ins,Shape and morphology,DIAMETER_INSCRIBING_CIRCLE,"No direct MATLAB built-in oracle in base/IPT"
MATLAB built-ins,Shape and morphology,ROI_RADIUS_MEAN,"Nyxus-specific contour distance convention"
MATLAB built-ins,Shape and morphology,ROI_RADIUS_MAX,"Nyxus-specific contour distance convention"
MATLAB built-ins,Shape and morphology,ROI_RADIUS_MEDIAN,"Nyxus-specific contour distance convention"
MATLAB built-ins,GLRLM,GLRLM_*,"MATLAB Image Processing Toolbox has no full GLRLM matrix/feature family oracle"
MATLAB built-ins,GLDZM,GLDZM_*,"MATLAB has no GLDZM feature-family oracle"
MATLAB built-ins,GLSZM,GLSZM_*,"MATLAB can label connected zones, but has no GLSZM feature-family oracle"
MATLAB built-ins,GLDM,GLDM_*,"MATLAB has no GLDM feature-family oracle"
MATLAB built-ins,NGLDM,NGLDM_*,"MATLAB has no NGLDM feature-family oracle"
MATLAB built-ins,NGTDM,NGTDM_*,"MATLAB has no NGTDM feature-family oracle"
MATLAB built-ins,Gabor score,GABOR,"MATLAB has gabor/imgaborfilt but not Nyxus custom CPU score and threshold statistic"
MATLAB built-ins,Neighbor / touching,Neighbor / touching family,"MATLAB has geometry primitives but no Nyxus multi-ROI neighbor/touching feature oracle"
MATLAB built-ins,Advanced shape long tail,Advanced shape long tail,"Some primitives exist, but Feret/Martin/Nassenstein/chords/polygonality/geodesic/thickness need separate oracles"
MATLAB built-ins,Moments / Zernike / radial,Moments / Zernike / radial,"Some moment primitives exist in MATLAB/File Exchange ecosystems, but no single trusted built-in oracle is wired here"
MATLAB built-ins,GLCM,GLCM_ACOR,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_ACOR_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_CLUPROM,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_CLUPROM_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_CLUSHADE,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_CLUSHADE_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_CLUTEND,"Not exposed by graycoprops"
MATLAB built-ins,GLCM,GLCM_CLUTEND_AVE,"Not exposed by graycoprops for the averaged Nyxus GLCM feature"
MATLAB built-ins,GLCM,GLCM_DIFAVE,"Not exposed by graycoprops"
