family,feature,expected,actual,abs_diff,rel_diff_pct,tolerance_pct,status,oracle_feature,image_source,settings,note
Shape and morphology subset,MASS_DISPLACEMENT,2.01011235208395,0.6344760742434069,1.375636277840543,68.43579048774939,5.0,MISMATCH,cp_measure.featurize Intensity_MassDisplacement,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style mass-displacement measurement; differs from Nyxus because Nyxus applies a one-based weighted-centroid compatibility offset.
Shape and morphology subset,COMPACTNESS,0.065356393729344,0.4903072849354424,0.4249508912060984,650.2055376034343,5.0,MISMATCH,cp_measure.featurize Compactness,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style compactness measurement; this is a different shape convention than Nyxus' std(distance-to-centroid)/area statistic.
Shape and morphology subset,EDGE_INTEGRATED_INTENSITY,753.0,753.0,0.0,0.0,5.0,PASS,cp_measure.featurize Intensity_IntegratedIntensityEdge,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style edge integrated intensity measurement.
Shape and morphology subset,EDGE_MEAN_INTENSITY,41.8333333333333,41.833333333333336,3.552713678800501e-14,8.49254265848726e-14,5.0,PASS,cp_measure.featurize Intensity_MeanIntensityEdge,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style edge mean intensity measurement.
Shape and morphology subset,EDGE_STDDEV_INTENSITY,16.7691944455582,16.296727687892847,0.4724667576653516,2.8174684192447774,5.0,PASS,cp_measure.featurize Intensity_StdIntensityEdge,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style edge standard-deviation intensity measurement.
Shape and morphology subset,EDGE_MAX_INTENSITY,68.0,68.0,0.0,0.0,5.0,PASS,cp_measure.featurize Intensity_MaxIntensityEdge,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style edge maximum intensity measurement.
Shape and morphology subset,EDGE_MIN_INTENSITY,12.0,12.0,0.0,0.0,5.0,PASS,cp_measure.featurize Intensity_MinIntensityEdge,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style edge minimum intensity measurement.
Shape and morphology subset,CONVEX_HULL_AREA,20.0,28.0,8.0,40.0,5.0,MISMATCH,cp_measure.featurize ConvexArea,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style convex-area measurement.
Shape and morphology subset,SOLIDITY,1.3,0.9285714285714286,0.37142857142857144,28.571428571428573,5.0,MISMATCH,cp_measure.featurize Solidity,tests/test_data.h shape2d_morphology_intensity + shape2d_morphology_mask,cp-measure single-channel 2D image; intensity and sizeshape feature groups enabled,Direct CellProfiler-style solidity measurement.
Neighbor / touching features,NUM_NEIGHBORS[label=1],4.0,4.0,0.0,0.0,5.0,PASS,cp_measure.measureobjectneighbors NumberOfNeighbors_Adjacent,tests/test_data.h neighborhood2d_scene_labels,cp-measure MeasureObjectNeighbors equivalent; distance_method=Adjacent,Direct CellProfiler-style adjacent-neighbor count. This supersedes the earlier Centrosome mismatch for the tracker because it matches Nyxus' fixture convention.
