family,feature,review_name,verification_bucket,cxx_test_name,expected,actual,abs_diff,rel_diff_pct,tolerance_pct,status,oracle_tool,oracle_feature,image_source,settings,note
Shape and morphology subset,DIAMETER_EQUAL_PERIMETER,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__DIAMETER_EQUAL_PERIMETER,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_CONTOUR_DIAMETER_EQUAL_PERIMETER,8.57365809435587,4.0288018356007465,4.544856258755124,53.00953465530718,5.0,MISMATCH,imea,shape_measurements_2d.diameter_equal_perimeter,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea equal-perimeter diameter column.
Shape and morphology subset,FRACT_DIM_BOXCOUNT,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__FRACT_DIM_BOXCOUNT,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_FRACTAL_CIRCLE_FEATURES,-0.830074998557687,1.403677461028802,2.233752459586489,269.10248633771516,5.0,MISMATCH,imea,shape_measurements_2d.fractal_dimension_boxcounting_method,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea box-counting fractal-dimension column.
Shape and morphology subset,FRACT_DIM_PERIMETER,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__FRACT_DIM_PERIMETER,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_FRACTAL_CIRCLE_FEATURES,-1.97227924244155,1.7717743812221949,3.7440536236637447,189.83385025280984,5.0,MISMATCH,imea,shape_measurements_2d.fractal_dimension_perimeter_method,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea perimeter-method fractal-dimension column.
Shape and morphology subset,DIAMETER_CIRCUMSCRIBING_CIRCLE,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__DIAMETER_CIRCUMSCRIBING_CIRCLE,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_FRACTAL_CIRCLE_FEATURES,12.3317073399088,6.888804054534804,5.442903285373996,44.13746722450396,5.0,MISMATCH,imea,shape_measurements_2d.diameter_circumscribing_circle,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea circumscribing-circle diameter column.
Shape and morphology subset,DIAMETER_INSCRIBING_CIRCLE,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__DIAMETER_INSCRIBING_CIRCLE,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_FRACTAL_CIRCLE_FEATURES,0.828486893405308,3.604730619649225,2.7762437262439166,335.09808644440886,5.0,MISMATCH,imea,shape_measurements_2d.diameter_inscribing_circle,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea inscribing-circle diameter column.
Added 2D shape morphology extras,GEODETIC_LENGTH,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__GEODETIC_LENGTH,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_GEODETIC_THICKNESS_EROSION,10.0,3.164213562373095,6.835786437626905,68.35786437626905,5.0,MISMATCH,imea,shape_measurements_2d.geodeticlength,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea geodetic-length column.
Added 2D shape morphology extras,THICKNESS,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__THICKNESS,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_GEODETIC_THICKNESS_EROSION,3.0,3.164213562373095,0.16421356237309492,5.473785412436498,5.0,MISMATCH,imea,shape_measurements_2d.thickness,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea thickness column.
Added 2D shape morphology extras,EROSIONS_2_VANISH,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__EROSIONS_2_VANISH,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_SHAPE2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_GEODETIC_THICKNESS_EROSION,1.0,3.0,2.0,200.0,5.0,MISMATCH,imea,shape_measurements_2d.n_erosions,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea erosion-count column.
Remaining 2D erosion complement,EROSIONS_2_VANISH_COMPLEMENT,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__EROSIONS_2_VANISH_COMPLEMENT,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_REMAINING2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_EROSION_COMPLEMENT,0.0,2.0,2.0,inf,5.0,MISMATCH,imea,shape_measurements_2d.n_erosions_complement,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea complement erosion-count column.
Remaining 2D Feret calipers,STAT_FERET_DIAM_MEAN,VERIFIABLE_WITH_3P_BUILTIN_ORACLE__STAT_FERET_DIAM_MEAN,VERIFIABLE_WITH_3P_BUILTIN_ORACLE,TEST_REMAINING2D_VERIFIABLE_WITH_3P_BUILTIN_ORACLE_CALIPER_FEATURES,4.947368421052632,6.45,1.5026315789473683,30.37234042553191,5.0,MISMATCH,imea,shape_measurements_2d.feret_mean,tests/test_data.h shape2d_morphology_mask,"imea.shape_measurements_2d(binary_mask, spatial_resolution_xy=1, dalpha=9)",Direct imea Feret mean column.
