Family,Feature,Expected,PyRadiomicsValue,AbsDiff,RelDiffPct,TolerancePct,Status,OracleFeature,ImageSource,Settings,Note
First-order intensity,ENTROPY,4.12733,3.05337968839067,1.07395031160933,26.0204614511,5,MISMATCH,RadiomicsFirstOrder.Entropy,pixelIntensityFeaturesTestData ROI pixels,"{'binCount': 9, 'voxelArrayShift': 0}",PyRadiomics first-order feature with Nyxus-documented histogram setting where applicable.
First-order intensity,UNIFORMITY,0.0647664,0.0135773317591499,0.0511890682408501,79.0364575472,5,MISMATCH,RadiomicsFirstOrder.Uniformity,pixelIntensityFeaturesTestData ROI pixels,"{'binCount': 256, 'voxelArrayShift': 0}",PyRadiomics first-order feature with Nyxus-documented histogram setting where applicable.
First-order intensity,ROBUST_MEAN_ABSOLUTE_DEVIATION,10440.618496,10440.618496,1.81898940354586e-12,1.74222380048e-14,5,PASS,RadiomicsFirstOrder.RobustMeanAbsoluteDeviation,pixelIntensityFeaturesTestData ROI pixels,"{'binWidth': 25, 'voxelArrayShift': 0}",PyRadiomics first-order feature with Nyxus-documented histogram setting where applicable.
GLCM,GLCM_ACOR,1340.1234375,980.581770833333,359.541666666667,26.8289962406,5,MISMATCH,RadiomicsGLCM.Autocorrelation,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_ASM,0.287673611111111,0.287673611111111,0,0,5,PASS,RadiomicsGLCM.JointEnergy,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_CLUPROM,6401030.04584858,6441263.83922709,40233.7933785105,0.628551859471,5,PASS,RadiomicsGLCM.ClusterProminence,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_CLUSHADE,20646.0840086806,34117.8690711805,13471.7850625,65.2510425553,5,MISMATCH,RadiomicsGLCM.ClusterShade,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_CLUTEND,1563.90420572917,1535.90890625,27.9952994791665,1.79009042732,5,PASS,RadiomicsGLCM.ClusterTendency,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_CONTRAST,1444.81302083333,1444.81302083333,2.27373675443232e-13,1.57372388098e-14,5,PASS,RadiomicsGLCM.Contrast,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_CORRELATION,0.0100955244300025,0.0100955244300025,8.67361737988404e-18,8.59154711578e-14,5,PASS,RadiomicsGLCM.Correlation,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_DIFAVE,24.3302083333333,24.3302083333333,0,0,5,PASS,RadiomicsGLCM.DifferenceAverage,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_DIFENTRO,1.75274970193236,1.75274970190918,2.31805685757536e-11,1.3225258889e-09,5,PASS,RadiomicsGLCM.DifferenceEntropy,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_DIFVAR,771.579565972222,771.579565972222,0,0,5,PASS,RadiomicsGLCM.DifferenceVariance,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_DIS,24.3302083333333,24.3302083333333,7.105427357601e-15,2.92041369324e-14,5,PASS,RadiomicsGLCM.DifferenceAverage,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_ENERGY,0.287673611111111,0.287673611111111,0,0,5,PASS,RadiomicsGLCM.JointEnergy,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_ENTROPY,-20.9435645802886,2.26391119803231,23.2074757783209,110.809579188,5,MISMATCH,RadiomicsGLCM.JointEntropy,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_HOM1,0.51027480278492,0.51027480278492,0,0,5,PASS,RadiomicsGLCM.Id,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_HOM2,6.94497889226485,0.497175137255311,6.44780375500954,92.841228966,5,MISMATCH,RadiomicsGLCM.Idm,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_ID,0.51027480278492,0.51027480278492,0,0,5,PASS,RadiomicsGLCM.Id,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_IDN,0.844321003081244,0.838297067359338,0.00602393572190563,0.713465103903,5,PASS,RadiomicsGLCM.Idn,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_IDM,0.497175137255311,0.497175137255311,0,0,5,PASS,RadiomicsGLCM.Idm,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_IDMN,0.900291520055316,0.891295483737646,0.0089960363176701,0.999235927171,5,PASS,RadiomicsGLCM.Idmn,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_INFOMEAS1,-0.239130676391214,-0.203316770999657,0.0358139053915574,14.9767089409,5,MISMATCH,RadiomicsGLCM.Imc1,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
GLCM,GLCM_INFOMEAS2,0.599721973353357,0.599721973350713,2.64388511084235e-12,4.40851799386e-10,5,PASS,RadiomicsGLCM.Imc2,"IBSI 2D phantom slices, Nyxus MATLAB-style 100-level binning, AABB background included","{'binWidth': 1, 'force2D': True, 'force2Ddimension': 0, 'distances': [1], 'symmetricalGLCM': False}",PyRadiomics GLCM value averaged over the four Nyxus 2D phantom slices.
