family,feature,expected,actual,abs_diff,rel_diff_pct,tolerance_pct,status,oracle_tool,oracle_feature,image_source,settings,note
Shape and morphology subset,CONVEX_HULL_AREA,20.0,28.0,8.0,40.0,5.0,MISMATCH,scikit-image,skimage.measure.regionprops.area_convex,tests/test_data.h shape2d_morphology_mask,scikit-image regionprops without spacing for pixel-count area_convex.,Direct scikit-image convex-area measurement on the 2D ROI mask.
Shape and morphology subset,DIAMETER_EQUAL_AREA,33.1042281631142,11.507254783503184,21.596973379611015,65.23932010496188,5.0,MISMATCH,scikit-image,skimage.measure.regionprops.equivalent_diameter_area,tests/test_data.h shape2d_morphology_mask,"scikit-image regionprops; spacing=(2.0, 2.0) where supported",Direct scikit-image equivalent-area diameter measurement on the 2D ROI mask.
Shape and morphology subset,PERIMETER,26.9349412836191,25.31370849898476,1.6212327846343406,6.019069310614455,5.0,MISMATCH,scikit-image,skimage.measure.regionprops.perimeter,tests/test_data.h shape2d_morphology_mask,"scikit-image regionprops; spacing=(2.0, 2.0) where supported",Direct scikit-image perimeter measurement on the 2D ROI mask.
Shape and morphology subset,SOLIDITY,1.3,0.9285714285714286,0.37142857142857144,28.57142857142857,5.0,MISMATCH,scikit-image,skimage.measure.regionprops.solidity,tests/test_data.h shape2d_morphology_mask,scikit-image regionprops without spacing for dimensionless solidity.,Direct scikit-image solidity measurement on the 2D ROI mask.
Added 2D shape geometric moments,CENTRAL_MOMENT_00,1920.0,1920.0,0.0,0.0,5.0,PASS,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_01,960.0,0.0,960.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_02,256320.0,255840.0,480.0,0.18726591760299627,5.0,PASS,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_03,384000.0,0.0,384000.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_10,960.0,0.0,960.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_11,480.0,0.0,480.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_12,128160.0,0.0,128160.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_13,192000.0,0.0,192000.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_20,368960.0,368480.0,480.0,0.13009540329575023,5.0,PASS,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_21,184480.0,0.0,184480.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_22,49256160.0,49099960.0,156200.0,0.31711769654800537,5.0,PASS,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_23,73792000.0,0.0,73792000.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
Added 2D shape geometric moments,CENTRAL_MOMENT_30,552960.0,0.0,552960.0,100.0,5.0,MISMATCH,scikit-image,regionprops.moments_central,tests/test_2d_geometric_moments.h,scikit-image regionprops on the added 48x40 2D fixture.,Direct scikit-image regionprops property.
